S1,S2,S3,S4,S5,S6,S7,S8
1.009418625,1.100791711,1.151735963,1.00500898,1.0011185,1.175110904,1.003160289,1.189422702
1.009570367,1.10723809,1.162372305,1.005446773,1.0011185,1.191173406,1.00293393,1.21462892
1.009714368,1.114659983,1.173828565,1.005446773,1.001342483,1.208375356,1.003160289,1.24367905
1.009708108,1.122139043,1.185400464,1.006104135,1.001790732,1.225957916,1.003613296,1.27390842
1.010007568,1.130087779,1.196577642,1.006104135,1.0011185,1.243801906,1.003613296,1.304998017
1.009397443,1.13062991,1.197170848,1.006542825,1.001790732,1.252733675,1.003613296,1.327716299
1.009242041,1.131355619,1.197941419,1.006542825,1.000894612,1.261777548,1.003160289,1.351037579
1.008919951,1.132101971,1.19852074,1.006542825,1.0011185,1.270911813,1.002481501,1.375083052
1.008430198,1.132827764,1.199093733,1.006762305,1.000670817,1.279973488,1.003160289,1.39966072
1.007959964,1.133514665,1.199666233,1.006323435,1.000447117,1.289213409,1.002255431,1.424675939
1.008394945,1.13518173,1.201830645,1.005884924,1.000223512,1.300776565,1.001803578,1.457909619
1.008826279,1.137314619,1.204074557,1.005884924,0.999776582,1.313486931,1.000901024,1.494733268
1.008816444,1.139654079,1.20662967,1.006542825,1,1.326514466,1.000450321,1.533037511
1.00971385,1.143932476,1.211915679,1.006981875,0.999776582,1.337068022,1.000675624,1.562335811
1.010169391,1.147912627,1.216429985,1.006981875,1.000223512,1.346084747,1.000901024,1.587598889
1.010773977,1.15161842,1.22100266,1.006542825,1,1.355099871,1.001126519,1.613123699
1.010921842,1.155705155,1.225611503,1.006323435,0.999553259,1.364434241,1.001126519,1.639433073
1.011204499,1.159692974,1.230098031,1.006323435,0.998660903,1.373457288,1.001803578,1.666458278
1.011204055,1.163698648,1.234464056,1.006104135,0.99799262,1.382752756,1.001352109,1.693706991
1.011290358,1.167931201,1.23973554,1.006323435,0.998215288,1.393231713,1.001126519,1.72737432
1.0114246,1.172263677,1.245662126,1.006104135,0.99799262,1.404660232,1.000450321,1.765219098
1.012016463,1.176931938,1.251819995,1.006323435,0.997547566,1.416104062,1.000675624,1.804301532
1.012014482,1.179904688,1.255930478,1.006104135,0.997325179,1.422931709,1.000901024,1.832149443
1.012461407,1.182093615,1.2593318,1.006762305,0.997102885,1.428645481,1.001352109,1.855306254
1.012917838,1.184280868,1.262716223,1.006762305,0.997102885,1.434377696,1.002029457,1.878511859
1.013367244,1.186374738,1.266243264,1.007641127,0.99799262,1.440018721,1.002707668,1.90228215
1.01348865,1.188385616,1.269707916,1.007641127,0.997547566,1.445861623,1.002707668,1.92653595
1.014082083,1.190560327,1.272920364,1.007641127,0.997770046,1.451650815,1.00293393,1.951132557
1.014374402,1.19226944,1.276690064,1.007861057,0.997547566,1.458342469,1.003386745,1.980862315
1.014680223,1.194547684,1.280614002,1.00830119,0.99799262,1.466135031,1.003613296,2.013501132
1.015288801,1.196884467,1.284642704,1.008081078,0.998215288,1.473775283,1.003839944,2.046972006
1.015888793,1.198039952,1.286825765,1.00830119,0.998215288,1.478730418,1.003839944,2.068833354
1.015858376,1.198749542,1.288927911,1.007861057,0.998215288,1.482796059,1.004066689,2.085888429
1.016317633,1.19935706,1.290806136,1.008081078,0.998215288,1.486605103,1.004747502,2.103989926
1.016150085,1.200017423,1.29271482,1.007201536,0.998438048,1.490692296,1.004747502,2.122080545
1.016441444,1.200590666,1.294687631,1.007861057,0.998660903,1.494678914,1.004974633,2.140266431
1.016274231,1.201282158,1.296670533,1.008741684,0.998660903,1.498703562,1.004747502,2.159604458
1.016575827,1.203137382,1.299780365,1.009403103,0.999106893,1.502547304,1.004520467,2.182046126
1.016870913,1.20466899,1.302241939,1.009403103,0.999106893,1.507769285,1.004520467,2.206709946
1.017173212,1.205988581,1.304715814,1.009623758,1.000223512,1.513044688,1.00429353,2.232015945
1.017318282,1.207028574,1.306544544,1.009844503,0.999553259,1.517007413,1.004520467,2.249093075
1.017471102,1.207754525,1.307569329,1.010286266,1,1.51996014,1.004520467,2.262169173
1.017913442,1.208557326,1.308459159,1.010065339,1.000223512,1.523135105,1.004520467,2.27539023
1.018191058,1.209294643,1.30941653,1.010286266,1.000447117,1.526106356,1.004066689,2.288667893
1.018035867,1.209858423,1.310398867,1.010065339,1.000223512,1.529030161,1.003839944,2.301929663
